Year,month,Rainfall,kwh
2019,1,80,0
2019,2,25,0
2019,3,36,0
2019,4,40,0
2019,5,97,0
2019,6,291,8620
2019,7,341,12780
2019,8,203,6266
2019,9,141,542
2019,10,181,4006
2019,11,269,7404
2019,12,332,12418
2020,1,153,2870
2020,2,32,0
2020,3,38,0
2020,4,55,0
2020,5,145,812
2020,6,347,13800
2020,7,331,11571
2020,8,309,10722
2020,9,327,11475
2020,10,342,12822
2020,11,385,17856
2020,12,330,12018
2021,1,306,9930
2021,2,37,0
2021,3,41,0
2021,4,60,0
2021,5,302,9510
2021,6,375,18060
2021,7,406,18390
2021,8,360,16050
2021,9,415,18900
2021,10,358,15360
2021,11,361,16200
2021,12,303,9870
2022,1,191,5760
2022,2,35,0
2022,3,40,0
2022,4,164,3108
2022,5,167,3168
2022,6,342,12828
2022,7,188,5403
2022,8,301,9489.1
2022,9,355,14934
2022,10,345,13284
2022,11,306,10662
2022,12,359,15870
2023,1,213,6780
2023,2,31,0
2023,3,45,0
2023,4,93,0
2023,5,113,1410
2023,6,310,10650
2023,7,395,18240
2023,8,581,22410
2023,9,427,19230
2023,10,453,20400
2023,11,382,17400
2023,12,275,7620
